name;questions;timecreated;timemodified
Studienstart;Wie bist du mit dem Start deines Studiums klar gekommen? Hattest du Probleme, die du mit mehr Vorwissen hättest vermeiden können? Hast du Tipps an kommende Erstsemester Studenten, die du gerne teilen würdest?;1614832070;1614832070
Hochschulsport;Was für Sportarten hast du bereits ausprobiert? Welche davon kannst du weiterempfehlen und von welchen würdest du eher abraten?;1614832124;1614832124
Hochschulinitiativen;Bei welchen Initiativen hast du dich engagiert? Wie war der Aufnahmeprozess? Welche Aufgaben hast du übernommen?;1614832201;1614832201
Praxis (Praktika, Jobs);Welche beruflichen Erfahrungen hast du während deines Studiums gesammelt? Sind Studium und Job gut miteinander vereinbar in deinem Studiengang? Kannst du Unternehmen empfehlen bei denen du bereits gearbeitet hast?;1614832315;1614832315
Stipendien;Wurdest du bereits durch ein Stipendium unterstützt? Wie war der Bewerbungsprozess? Hast du Tipps an andere Studierende, die ebenfalls an einem Stipendium interessiert sind?;1614832387;1614832387
Auslandserfahrungen;Welche Erfahrungen hast du während deines Auslandsaufenthalts gemacht? Hast du ein Auslandssemester gemacht oder warst du beruflich unterwegs? Wie bist du dazu gekommen?;1614832546;1614832546
Rund ums Studium (Mensa, Leben);Was sind außerstudentische Aktivitäten die du verfolgst? Was hältst du von der Mensa und hast du Geheimtipps bei welchem Gericht man auf jeden Fall die Mensa besuchen sollte?;1614832770;1614832770
Studienverlauf;Wie hast du dein Studium gestaltet? Welche Module hast du aufgeschoben, welche vorgezogen? Schreibst du Klausuren immer regulär oder teilst du diese auf?;1614832854;1614832854
Lernmethoden & Motivation;Wie gehst du die Klausurphasen an? Welche Lernmethoden klappen für dich am Besten? Wie motivierst du dich ans Lernen zu setzen?;1614832919;1614832919
